e_lo,e_hi,k_lo,k_hi,status,margin
36548231434102749355384261628291641/332306998946228968225951765070086144,2033/10000,654278945212848741307469881167421623/1329227995784915872903807060280344576,59/61,PASS,207831892143673401858077352158431979/1329227995784915872903807060280344576
21043340708269949412908395523063205/332306998946228968225951765070086144,36548231434102749355384261628291641/332306998946228968225951765070086144,654278945212848741307469881167421623/1329227995784915872903807060280344576,59/61,PASS,80418057418949131432494518024900169/332306998946228968225951765070086144
13290895345353549441670462470448987/332306998946228968225951765070086144,21043340708269949412908395523063205/332306998946228968225951765070086144,654278945212848741307469881167421623/1329227995784915872903807060280344576,59/61,PASS,84935856103987734983194038609819591/332306998946228968225951765070086144
1/60,13290895345353549441670462470448987/332306998946228968225951765070086144,654278945212848741307469881167421623/1329227995784915872903807060280344576,59/61,PASS,59129769351217574977061254136783731/664613997892457936451903530140172288
36548231434102749355384261628291641/332306998946228968225951765070086144,2033/10000,338595042808535107851986653254900221/1329227995784915872903807060280344576,654278945212848741307469881167421623/1329227995784915872903807060280344576,PASS,36537536340183677191746888698500853/332306998946228968225951765070086144
21043340708269949412908395523063205/332306998946228968225951765070086144,36548231434102749355384261628291641/332306998946228968225951765070086144,338595042808535107851986653254900221/1329227995784915872903807060280344576,654278945212848741307469881167421623/1329227995784915872903807060280344576,PASS,251325378538984897323951848100960915/1329227995784915872903807060280344576
13290895345353549441670462470448987/332306998946228968225951765070086144,21043340708269949412908395523063205/332306998946228968225951765070086144,338595042808535107851986653254900221/1329227995784915872903807060280344576,654278945212848741307469881167421623/1329227995784915872903807060280344576,PASS,275498762221400480155843950139155679/1329227995784915872903807060280344576
1/60,13290895345353549441670462470448987/332306998946228968225951765070086144,338595042808535107851986653254900221/1329227995784915872903807060280344576,654278945212848741307469881167421623/1329227995784915872903807060280344576,PASS,47649764504318913258743417606136195/664613997892457936451903530140172288
36548231434102749355384261628291641/332306998946228968225951765070086144,2033/10000,5648534112699321597632657478082485/41538374868278621028243970633760768,338595042808535107851986653254900221/1329227995784915872903807060280344576,PASS,31227730303946912957702947091324927/332306998946228968225951765070086144
21043340708269949412908395523063205/332306998946228968225951765070086144,36548231434102749355384261628291641/332306998946228968225951765070086144,5648534112699321597632657478082485/41538374868278621028243970633760768,338595042808535107851986653254900221/1329227995784915872903807060280344576,PASS,202684777895737136097244253677862247/1329227995784915872903807060280344576
13290895345353549441670462470448987/332306998946228968225951765070086144,21043340708269949412908395523063205/332306998946228968225951765070086144,5648534112699321597632657478082485/41538374868278621028243970633760768,338595042808535107851986653254900221/1329227995784915872903807060280344576,PASS,257091699655787656903997433351622717/1329227995784915872903807060280344576
1/60,13290895345353549441670462470448987/332306998946228968225951765070086144,5648534112699321597632657478082485/41538374868278621028243970633760768,338595042808535107851986653254900221/1329227995784915872903807060280344576,PASS,70168144796936712719065339546901695/664613997892457936451903530140172288
36548231434102749355384261628291641/332306998946228968225951765070086144,2033/10000,60/3481,5648534112699321597632657478082485/41538374868278621028243970633760768,EMPTY,
21043340708269949412908395523063205/332306998946228968225951765070086144,36548231434102749355384261628291641/332306998946228968225951765070086144,50916058002649941380187116160254585/664613997892457936451903530140172288,5648534112699321597632657478082485/41538374868278621028243970633760768,PASS,206573486764549116857962438072983961/1329227995784915872903807060280344576
13290895345353549441670462470448987/332306998946228968225951765070086144,21043340708269949412908395523063205/332306998946228968225951765070086144,50916058002649941380187116160254585/664613997892457936451903530140172288,5648534112699321597632657478082485/41538374868278621028243970633760768,PASS,71139353599056586656113098095595917/332306998946228968225951765070086144
1/60,13290895345353549441670462470448987/332306998946228968225951765070086144,50916058002649941380187116160254585/664613997892457936451903530140172288,5648534112699321597632657478082485/41538374868278621028243970633760768,PASS,225906654702448245931402353085790441/1329227995784915872903807060280344576
21043340708269949412908395523063205/332306998946228968225951765070086144,36548231434102749355384261628291641/332306998946228968225951765070086144,60/3481,50916058002649941380187116160254585/664613997892457936451903530140172288,PASS,67825008621327340764222488143504527/332306998946228968225951765070086144
1/60,21043340708269949412908395523063205/332306998946228968225951765070086144,60/3481,50916058002649941380187116160254585/664613997892457936451903530140172288,PASS,156090812918642291734413276096368955/1329227995784915872903807060280344576
