[m0m2m4m6] 12346 graphs, blocks: m=0 nf=11, m=2 nf=120, m=2 nf=120, m=4 nf=272, m=4 nf=272, m=4 nf=272, m=4 nf=272, m=4 nf=272, m=4 nf=272, m=4 nf=272, m=4 nf=272, m=4 nf=272, m=4 nf=272, m=4 nf=272, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64, m=6 nf=64
assembled A: (759820, 747475), nnz=11066275 (0.7s)
------------------------------------------------------------------
	       SCS v3.2.11 - Splitting Conic Solver
	(c) Brendan O'Donoghue, Stanford University, 2012
------------------------------------------------------------------
problem:  variables n: 747475, constraints m: 759820
cones: 	  l: linear vars: 12346
	  s: psd vars: 747474, ssize: 170
settings: eps_abs: 1.0e-09, eps_rel: 1.0e-09, eps_infeas: 1.0e-07
	  alpha: 1.50, scale: 1.00e-01, adaptive_scale: 1
	  max_iters: 200000, normalize: 1, rho_x: 1.00e-06
	  acceleration_lookback: 10, acceleration_interval: 10
lin-sys:  sparse-direct-amd-qdldl
	  nnz(A): 11066275, nnz(P): 0
------------------------------------------------------------------
 iter | pri res | dua res |   gap   |   obj   |  scale  | time (s)
------------------------------------------------------------------
     0| 4.26e-01  4.16e+00  2.27e-01 -1.28e-01  1.00e-01  1.59e+02 
   250| 6.29e-04  2.19e-04  3.77e-05  7.44e-05  1.00e-01  2.31e+02 
   500| 3.68e-04  4.93e-04  3.56e-05  4.17e-05  1.00e-01  3.02e+02 
   750| 2.73e-04  4.25e-04  3.45e-05  3.91e-05  1.00e-01  3.70e+02 
  1000| 2.18e-04  3.68e-04  3.41e-05  3.92e-05  1.00e-01  4.38e+02 
  1250| 1.81e-04  2.78e-04  3.39e-05  3.95e-05  1.00e-01  5.06e+02 
  1500| 1.55e-04  2.61e-04  3.31e-05  3.91e-05  1.00e-01  5.74e+02 
  1750| 1.36e-04  2.45e-04  3.21e-05  3.88e-05  1.00e-01  6.42e+02 
  2000| 1.22e-04  2.46e-04  3.15e-05  3.83e-05  1.00e-01  7.10e+02 
  2250| 1.14e-04  2.27e-04  3.05e-05  3.77e-05  1.00e-01  7.79e+02 
  2500| 1.07e-04  2.15e-04  2.96e-05  3.73e-05  1.00e-01  8.47e+02 
  2750| 4.96e-02  1.62e-01  8.23e-05  2.60e-05  1.00e-01  9.15e+02 
  3000| 9.41e-05  1.91e-04  2.79e-05  3.65e-05  1.00e-01  9.83e+02 
  3250| 8.89e-05  1.84e-04  2.74e-05  3.63e-05  1.00e-01  1.05e+03 
  3500| 8.42e-05  1.76e-04  2.65e-05  3.59e-05  1.00e-01  1.12e+03 
  3750| 8.01e-05  1.76e-04  2.60e-05  3.57e-05  1.00e-01  1.19e+03 
  4000| 7.62e-05  1.71e-04  2.54e-05  3.54e-05  1.00e-01  1.26e+03 
  4250| 7.27e-05  1.65e-04  2.49e-05  3.52e-05  1.00e-01  1.32e+03 
  4500| 6.94e-05  1.61e-04  2.44e-05  3.50e-05  1.00e-01  1.39e+03 
  4750| 6.64e-05  1.59e-04  2.39e-05  3.47e-05  1.00e-01  1.46e+03 
